indicator,date,rate
open,2022-04-29 15:38:00,28.28
high,2022-04-29 15:38:00,28.3
low,2022-04-29 15:38:00,28.27
close,2022-04-29 15:38:00,28.3
open,2022-04-29 15:37:00,28.29
high,2022-04-29 15:37:00,28.3
low,2022-04-29 15:37:00,28.28
close,2022-04-29 15:37:00,28.295
open,2022-04-29 15:36:00,28.3
high,2022-04-29 15:36:00,28.3
low,2022-04-29 15:36:00,28.29
close,2022-04-29 15:36:00,28.29
open,2022-04-29 15:35:00,28.34
high,2022-04-29 15:35:00,28.35
low,2022-04-29 15:35:00,28.32
close,2022-04-29 15:35:00,28.32
open,2022-04-29 15:34:00,28.34
high,2022-04-29 15:34:00,28.35
low,2022-04-29 15:34:00,28.33
close,2022-04-29 15:34:00,28.35
open,2022-04-29 15:33:00,28.31
high,2022-04-29 15:33:00,28.35
low,2022-04-29 15:33:00,28.31
close,2022-04-29 15:33:00,28.34
open,2022-04-29 15:32:00,28.31
high,2022-04-29 15:32:00,28.31
low,2022-04-29 15:32:00,28.3
close,2022-04-29 15:32:00,28.3
open,2022-04-29 15:31:00,28.31
high,2022-04-29 15:31:00,28.31
low,2022-04-29 15:31:00,28.3
close,2022-04-29 15:31:00,28.31
open,2022-04-29 15:30:00,28.34
high,2022-04-29 15:30:00,28.34
low,2022-04-29 15:30:00,28.32
close,2022-04-29 15:30:00,28.32
open,2022-04-29 15:29:00,28.35
high,2022-04-29 15:29:00,28.35
low,2022-04-29 15:29:00,28.342
close,2022-04-29 15:29:00,28.342
open,2022-04-29 15:27:00,28.39
high,2022-04-29 15:27:00,28.39
low,2022-04-29 15:27:00,28.365
close,2022-04-29 15:27:00,28.365
open,2022-04-29 15:26:00,28.375
high,2022-04-29 15:26:00,28.4
low,2022-04-29 15:26:00,28.375
close,2022-04-29 15:26:00,28.38
open,2022-04-29 15:25:00,28.38
high,2022-04-29 15:25:00,28.38
low,2022-04-29 15:25:00,28.37
close,2022-04-29 15:25:00,28.37
open,2022-04-29 15:24:00,28.365
high,2022-04-29 15:24:00,28.37
low,2022-04-29 15:24:00,28.365
close,2022-04-29 15:24:00,28.37
open,2022-04-29 15:23:00,28.365
high,2022-04-29 15:23:00,28.38
low,2022-04-29 15:23:00,28.36
close,2022-04-29 15:23:00,28.36
open,2022-04-29 15:22:00,28.37
high,2022-04-29 15:22:00,28.375
low,2022-04-29 15:22:00,28.37
close,2022-04-29 15:22:00,28.375
open,2022-04-29 15:21:00,28.4
high,2022-04-29 15:21:00,28.4
low,2022-04-29 15:21:00,28.38
close,2022-04-29 15:21:00,28.38
open,2022-04-29 15:20:00,28.4
high,2022-04-29 15:20:00,28.4
low,2022-04-29 15:20:00,28.39
close,2022-04-29 15:20:00,28.4
open,2022-04-29 15:19:00,28.38
high,2022-04-29 15:19:00,28.4
low,2022-04-29 15:19:00,28.38
close,2022-04-29 15:19:00,28.38
open,2022-04-29 15:18:00,28.32
high,2022-04-29 15:18:00,28.355
low,2022-04-29 15:18:00,28.32
close,2022-04-29 15:18:00,28.355
open,2022-04-29 15:17:00,28.33
high,2022-04-29 15:17:00,28.33
low,2022-04-29 15:17:00,28.32
close,2022-04-29 15:17:00,28.32
open,2022-04-29 15:16:00,28.32
high,2022-04-29 15:16:00,28.34
low,2022-04-29 15:16:00,28.32
close,2022-04-29 15:16:00,28.33
open,2022-04-29 15:15:00,28.32
high,2022-04-29 15:15:00,28.32
low,2022-04-29 15:15:00,28.3185
close,2022-04-29 15:15:00,28.32
open,2022-04-29 15:14:00,28.33
high,2022-04-29 15:14:00,28.33
low,2022-04-29 15:14:00,28.32
close,2022-04-29 15:14:00,28.33
open,2022-04-29 15:13:00,28.35
high,2022-04-29 15:13:00,28.35
low,2022-04-29 15:13:00,28.336
close,2022-04-29 15:13:00,28.34
open,2022-04-29 15:12:00,28.355
high,2022-04-29 15:12:00,28.36
low,2022-04-29 15:12:00,28.35
close,2022-04-29 15:12:00,28.35
open,2022-04-29 15:11:00,28.35
high,2022-04-29 15:11:00,28.355
low,2022-04-29 15:11:00,28.35
close,2022-04-29 15:11:00,28.35
open,2022-04-29 15:10:00,28.355
high,2022-04-29 15:10:00,28.355
low,2022-04-29 15:10:00,28.35
close,2022-04-29 15:10:00,28.35
open,2022-04-29 15:09:00,28.36
high,2022-04-29 15:09:00,28.36
low,2022-04-29 15:09:00,28.35
close,2022-04-29 15:09:00,28.35
open,2022-04-29 15:08:00,28.36
high,2022-04-29 15:08:00,28.37
low,2022-04-29 15:08:00,28.35
close,2022-04-29 15:08:00,28.36
open,2022-04-29 15:07:00,28.37
high,2022-04-29 15:07:00,28.37
low,2022-04-29 15:07:00,28.37
close,2022-04-29 15:07:00,28.37
open,2022-04-29 15:06:00,28.38
high,2022-04-29 15:06:00,28.38
low,2022-04-29 15:06:00,28.37
close,2022-04-29 15:06:00,28.37
open,2022-04-29 15:05:00,28.4
high,2022-04-29 15:05:00,28.4
low,2022-04-29 15:05:00,28.39
close,2022-04-29 15:05:00,28.39
open,2022-04-29 15:04:00,28.4
high,2022-04-29 15:04:00,28.42
low,2022-04-29 15:04:00,28.39
close,2022-04-29 15:04:00,28.405
open,2022-04-29 15:03:00,28.41
high,2022-04-29 15:03:00,28.42
low,2022-04-29 15:03:00,28.39
close,2022-04-29 15:03:00,28.4
open,2022-04-29 15:02:00,28.38
high,2022-04-29 15:02:00,28.38
low,2022-04-29 15:02:00,28.37
close,2022-04-29 15:02:00,28.38
open,2022-04-29 15:01:00,28.41
high,2022-04-29 15:01:00,28.41
low,2022-04-29 15:01:00,28.37
close,2022-04-29 15:01:00,28.37
open,2022-04-29 15:00:00,28.41
high,2022-04-29 15:00:00,28.43
low,2022-04-29 15:00:00,28.4
close,2022-04-29 15:00:00,28.41
open,2022-04-29 14:59:00,28.36
high,2022-04-29 14:59:00,28.41
low,2022-04-29 14:59:00,28.36
close,2022-04-29 14:59:00,28.41
open,2022-04-29 14:58:00,28.34
high,2022-04-29 14:58:00,28.38
low,2022-04-29 14:58:00,28.34
close,2022-04-29 14:58:00,28.365
open,2022-04-29 14:57:00,28.34
high,2022-04-29 14:57:00,28.36
low,2022-04-29 14:57:00,28.32
close,2022-04-29 14:57:00,28.33
open,2022-04-29 14:56:00,28.38
high,2022-04-29 14:56:00,28.38
low,2022-04-29 14:56:00,28.34
close,2022-04-29 14:56:00,28.34
open,2022-04-29 14:55:00,28.39
high,2022-04-29 14:55:00,28.39
low,2022-04-29 14:55:00,28.39
close,2022-04-29 14:55:00,28.39
open,2022-04-29 14:54:00,28.43
high,2022-04-29 14:54:00,28.43
low,2022-04-29 14:54:00,28.38
close,2022-04-29 14:54:00,28.38
open,2022-04-29 14:53:00,28.41
high,2022-04-29 14:53:00,28.42
low,2022-04-29 14:53:00,28.41
close,2022-04-29 14:53:00,28.42
open,2022-04-29 14:52:00,28.41
high,2022-04-29 14:52:00,28.41
low,2022-04-29 14:52:00,28.4
close,2022-04-29 14:52:00,28.41
open,2022-04-29 14:51:00,28.4
high,2022-04-29 14:51:00,28.4
low,2022-04-29 14:51:00,28.4
close,2022-04-29 14:51:00,28.4
open,2022-04-29 14:50:00,28.41
high,2022-04-29 14:50:00,28.43
low,2022-04-29 14:50:00,28.41
close,2022-04-29 14:50:00,28.41
open,2022-04-29 14:49:00,28.41
high,2022-04-29 14:49:00,28.41
low,2022-04-29 14:49:00,28.4
close,2022-04-29 14:49:00,28.4
open,2022-04-29 14:48:00,28.43
high,2022-04-29 14:48:00,28.43
low,2022-04-29 14:48:00,28.41
close,2022-04-29 14:48:00,28.41
open,2022-04-29 14:47:00,28.44
high,2022-04-29 14:47:00,28.44
low,2022-04-29 14:47:00,28.43
close,2022-04-29 14:47:00,28.43
open,2022-04-29 14:46:00,28.44
high,2022-04-29 14:46:00,28.44
low,2022-04-29 14:46:00,28.43
close,2022-04-29 14:46:00,28.43
open,2022-04-29 14:45:00,28.46
high,2022-04-29 14:45:00,28.46
low,2022-04-29 14:45:00,28.44
close,2022-04-29 14:45:00,28.44
open,2022-04-29 14:44:00,28.46
high,2022-04-29 14:44:00,28.46
low,2022-04-29 14:44:00,28.46
close,2022-04-29 14:44:00,28.46
open,2022-04-29 14:43:00,28.46
high,2022-04-29 14:43:00,28.46
low,2022-04-29 14:43:00,28.45
close,2022-04-29 14:43:00,28.45
open,2022-04-29 14:41:00,28.462
high,2022-04-29 14:41:00,28.47
low,2022-04-29 14:41:00,28.46
close,2022-04-29 14:41:00,28.46
open,2022-04-29 14:40:00,28.49
high,2022-04-29 14:40:00,28.49
low,2022-04-29 14:40:00,28.47
close,2022-04-29 14:40:00,28.47
open,2022-04-29 14:39:00,28.502
high,2022-04-29 14:39:00,28.51
low,2022-04-29 14:39:00,28.5
close,2022-04-29 14:39:00,28.5
open,2022-04-29 14:38:00,28.53
high,2022-04-29 14:38:00,28.53
low,2022-04-29 14:38:00,28.52
close,2022-04-29 14:38:00,28.52
open,2022-04-29 14:37:00,28.535
high,2022-04-29 14:37:00,28.535
low,2022-04-29 14:37:00,28.52
close,2022-04-29 14:37:00,28.52
open,2022-04-29 14:36:00,28.542
high,2022-04-29 14:36:00,28.55
low,2022-04-29 14:36:00,28.5238
close,2022-04-29 14:36:00,28.5238
open,2022-04-29 14:35:00,28.55
high,2022-04-29 14:35:00,28.555
low,2022-04-29 14:35:00,28.55
close,2022-04-29 14:35:00,28.555
open,2022-04-29 14:34:00,28.54
high,2022-04-29 14:34:00,28.555
low,2022-04-29 14:34:00,28.54
close,2022-04-29 14:34:00,28.55
open,2022-04-29 14:33:00,28.52
high,2022-04-29 14:33:00,28.53
low,2022-04-29 14:33:00,28.48
close,2022-04-29 14:33:00,28.51
open,2022-04-29 14:32:00,28.535
high,2022-04-29 14:32:00,28.535
low,2022-04-29 14:32:00,28.53
close,2022-04-29 14:32:00,28.53
open,2022-04-29 14:31:00,28.532
high,2022-04-29 14:31:00,28.5327
low,2022-04-29 14:31:00,28.53
close,2022-04-29 14:31:00,28.53
open,2022-04-29 14:30:00,28.56
high,2022-04-29 14:30:00,28.56
low,2022-04-29 14:30:00,28.55
close,2022-04-29 14:30:00,28.55
open,2022-04-29 14:29:00,28.56
high,2022-04-29 14:29:00,28.565
low,2022-04-29 14:29:00,28.56
close,2022-04-29 14:29:00,28.565
open,2022-04-29 14:28:00,28.555
high,2022-04-29 14:28:00,28.56
low,2022-04-29 14:28:00,28.555
close,2022-04-29 14:28:00,28.56
open,2022-04-29 14:27:00,28.55
high,2022-04-29 14:27:00,28.555
low,2022-04-29 14:27:00,28.55
close,2022-04-29 14:27:00,28.555
open,2022-04-29 14:26:00,28.56
high,2022-04-29 14:26:00,28.565
low,2022-04-29 14:26:00,28.55
close,2022-04-29 14:26:00,28.55
open,2022-04-29 14:25:00,28.52
high,2022-04-29 14:25:00,28.54
low,2022-04-29 14:25:00,28.52
close,2022-04-29 14:25:00,28.54
open,2022-04-29 14:24:00,28.505
high,2022-04-29 14:24:00,28.515
low,2022-04-29 14:24:00,28.5
close,2022-04-29 14:24:00,28.515
open,2022-04-29 14:23:00,28.505
high,2022-04-29 14:23:00,28.5163
low,2022-04-29 14:23:00,28.4907
close,2022-04-29 14:23:00,28.516
open,2022-04-29 14:22:00,28.5
high,2022-04-29 14:22:00,28.51
low,2022-04-29 14:22:00,28.5
close,2022-04-29 14:22:00,28.51
open,2022-04-29 14:21:00,28.505
high,2022-04-29 14:21:00,28.5185
low,2022-04-29 14:21:00,28.5
close,2022-04-29 14:21:00,28.5
